 Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,21,2000,32.0,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25,1996,22.7,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20,2001,20.3,44,2.17,26,10,4,0,2,2,6,0.30,4,1,0,0,1,0,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23,1998,22.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26,1995,10.3,3,0.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,31,1989,12.6,19,1.51,14,3,0,0,2,0,2,0.16,2,0,0,0,0,0,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30,1991,17.0,61,3.58,52,0,1,5,0,3,6,0.35,6,0,0,0,0,0,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,22,1998,31.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
10,Allan\cc700722,br BRA,MF,Everton,30,1991,24.3,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0,Matches
11,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25,1996,7.3,8,1.10,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0,Matches
12,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25,1996,3.8,10,2.66,9,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
13,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,27,1994,19.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0,Matches
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,30,1990,24.1,89,3.70,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0,Matches
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,22,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,26,1994,23.6,17,0.72,16,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25,1996,32.4,33,1.02,29,1,0,1,0,2,5,0.15,4,0,0,1,0,0,Matches
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31,1990,33.0,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1,Matches
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,24,1997,15.7,29,1.85,17,0,4,4,4,0,3,0.19,2,0,0,0,1,0,Matches
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29,1992,16.4,51,3.12,40,2,2,2,4,1,2,0.12,1,0,0,0,1,0,Matches
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32,1989,11.5,23,2.00,14,0,1,5,3,0,3,0.26,2,0,0,1,0,0,Matches
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,29,1991,22.4,47,2.10,31,1,1,3,8,3,6,0.27,4,0,0,0,1,1,Matches
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,29,1991,25.2,22,0.87,16,0,0,6,0,0,3,0.12,0,0,0,3,0,0,Matches
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,31,1989,23.0,44,1.91,41,0,2,1,0,0,8,0.35,6,0,1,1,0,0,Matches
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27,1994,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,23,1997,8.5,21,2.48,15,1,2,1,2,0,3,0.35,2,0,1,0,0,0,Matches
